2023-03-07 22:57:44.926 +01:00 [INF] Beginnig to create parsing structure matching...
2023-03-07 22:57:45.109 +01:00 [INF] Read all structure defining ontology graphs.
2023-03-07 22:57:45.110 +01:00 [INF] Merging all input graphs...
2023-03-07 22:57:45.140 +01:00 [INF] Creating owl inheritance tree from merged graphs...
2023-03-07 22:57:46.138 +01:00 [INF] Dynamically created owl class tree
2023-03-07 22:57:46.138 +01:00 [INF] Creating c# class inheritance tree from classes known to the assembly...
2023-03-07 22:57:46.205 +01:00 [INF] Dynamically created c# class tree
2023-03-07 22:57:46.220 +01:00 [INF] ##########################################
2023-03-07 22:57:46.220 +01:00 [INF] Created parsing structure for owl classes.
2023-03-07 22:57:46.222 +01:00 [INF] 93 classes could be mapped correctly
2023-03-07 22:57:46.222 +01:00 [INF] 43 were not mapped correctly
2023-03-07 22:57:46.222 +01:00 [INF] ##########################################
2023-03-07 22:57:46.226 +01:00 [WRN] Could not map MandatoryToEndChoiceSegmentPath correctly, mapped with ChoiceSegmentPath instead
2023-03-07 22:57:46.226 +01:00 [WRN] Could not map MandatoryToStartChoiceSegmentPath correctly, mapped with ChoiceSegmentPath instead
2023-03-07 22:57:46.226 +01:00 [WRN] Could not map OptionalToEndChoiceSegmentPath correctly, mapped with ChoiceSegmentPath instead
2023-03-07 22:57:46.226 +01:00 [WRN] Could not map OptionalToStartChoiceSegmentPath correctly, mapped with ChoiceSegmentPath instead
2023-03-07 22:57:46.226 +01:00 [WRN] Could not map EndState correctly, mapped with State instead
2023-03-07 22:57:46.226 +01:00 [WRN] Could not map InitialStateOfBehavior correctly, mapped with State instead
2023-03-07 22:57:46.226 +01:00 [WRN] Could not map AbstractDoState correctly, mapped with DoState instead
2023-03-07 22:57:46.226 +01:00 [WRN] Could not map AbstractReceiveState correctly, mapped with ReceiveState instead
2023-03-07 22:57:46.226 +01:00 [WRN] Could not map AbstractSendState correctly, mapped with SendState instead
2023-03-07 22:57:46.226 +01:00 [WRN] Could not map AbstractState correctly, mapped with State instead
2023-03-07 22:57:46.227 +01:00 [WRN] Could not map GeneralAbstractState correctly, mapped with State instead
2023-03-07 22:57:46.227 +01:00 [WRN] Could not map FinalizedState correctly, mapped with State instead
2023-03-07 22:57:46.227 +01:00 [WRN] Could not map FinalizedReceiveTransition correctly, mapped with ReceiveTransition instead
2023-03-07 22:57:46.227 +01:00 [WRN] Could not map PrecedenceReceiveTransition correctly, mapped with ReceiveTransition instead
